"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"32","Dion Phaneuf","L.A","D","33","1985-04-10","Edmonton","AB","CAN","CAN","75","222","2003","CGY","1","9","9"
"381","Dmitrij Jaskin","WSH","R","25","1993-03-23","Omsk","","RUS","CZE","74","216","2011","STL","2","11","41"
"241","Dmitry Kulikov","WPG","D","28","1990-10-29","Lipetsk","","RUS","RUS","73","204","2009","FLA","1","14","14"
"249","Dmitry Orlov","WSH","D","27","1991-07-23","Novokuznetsk","","RUS","RUS","71","212","2009","WSH","2","25","55"
"825","Dominik Kahun","CHI","C","23","1995-07-02","Plana","","CZE","DEU","71","175","-","-","-","-","-"
"712","Dominik Simon","PIT","C","24","1994-08-08","Prague","","CZE","CZE","71","190","2015","PIT","5","16","137"
"401","Dougie Hamilton","CAR","D","25","1993-06-17","Toronto","ON","CAN","CAN","78","229","2011","BOS","1","9","9"
"807","Drake Batherson","OTT","R","20","1998-04-27","Fort Wayne","IN","USA","USA","73","187","2017","OTT","4","28","121"
"765","Drake Caggiula","CHI, EDM","C, L","24","1994-06-20","Pickering","ON","CAN","CAN","70","176","-","-","-","-","-"
"179","Drew Doughty","L.A","D","29","1989-12-08","London","ON","CAN","CAN","73","202","2008","L.A","1","2","2"
"59","Drew Stafford","N.J","R","33","1985-10-30","Milwaukee","WI","USA","USA","74","215","2004","BUF","1","13","13"
"644","Dryden Hunt","FLA","L","23","1995-11-24","Cranbrook","BC","CAN","CAN","72","191","-","-","-","-","-"
"25","Duncan Keith","CHI","D","35","1983-07-16","Winnipeg","MB","CAN","CAN","73","192","2002","CHI","2","24","54"
"34","Dustin Brown","L.A","R","34","1984-11-04","Ithaca","NY","USA","USA","72","210","2003","L.A","1","13","13"
"53","Dustin Byfuglien","WPG","D","33","1985-03-27","Roseau","MN","USA","USA","77","260","2003","CHI","8","16","245"
"357","Dylan DeMelo","OTT","D","25","1993-05-01","London","ON","CAN","CAN","73","195","2011","S.J","6","28","179"
"770","Dylan Gambrell","S.J","C","22","1996-08-26","Bonney Lake","WA","USA","USA","72","195","2016","S.J","2","30","60"
"597","Dylan Larkin","DET","C","22","1996-07-30","Waterford","MI","USA","USA","73","198","2014","DET","1","15","15"
"640","Dylan Sikura","CHI","R","23","1995-06-01","Aurora","ON","CAN","CAN","71","166","2014","CHI","6","28","178"
"673","Dylan Strome","ARI, CHI","C","21","1997-03-07","Mississauga","ON","CAN","CAN","75","200","2015","ARI","1","3","3"
"787","Eeli Tolvanen","NSH","R","19","1999-04-22","Vihti","","FIN","FIN","70","191","2017","NSH","1","30","30"
"826","Egor Yakovlev","N.J","D","27","1991-09-17","Magnitogorsk","","RUS","RUS","72","190","-","-","-","-","-"
"551","Elias Lindholm","CGY","C","24","1994-12-02","Boden","","SWE","SWE","73","195","2013","CAR","1","5","5"
"788","Elias Pettersson","VAN","C","20","1998-11-12","Sundsvall","","SWE","SWE","74","176","2017","VAN","1","5","5"
"37","Eric Fehr","MIN","C","33","1985-09-07","Winkler","MB","CAN","CAN","76","209","2003","WSH","1","18","18"
"111","Eric Gryba","N.J","D","30","1988-04-14","Saskatoon","SK","CAN","CAN","76","222","2006","OTT","3","5","68"
"811","Eric Robinson","CBJ","L","23","1995-06-14","BELLMAWR","NJ","USA","USA","74","200","-","-","-","-","-"
"28","Eric Staal","MIN","C","34","1984-10-29","Thunder Bay","ON","CAN","CAN","76","207","2003","CAR","1","2","2"
"341","Erik Burgdoerfer","OTT","D","30","1988-12-11","Abington","PA","USA","USA","73","207","-","-","-","-","-"
"664","Erik Cernak","T.B","D","21","1997-05-28","Kosice","","SVK","SVK","75","225","2015","L.A","2","13","43"
"127","Erik Condra","DAL","R","32","1986-08-06","Trenton","MI","USA","USA","71","185","2006","OTT","7","28","211"
"316","Erik Gudbranson","VAN","D","27","1992-01-07","Ottawa","ON","CAN","CAN","77","217","2010","FLA","1","3","3"
"482","Erik Gustafsson","CHI","D","26","1992-03-14","Nynashamn","","SWE","SWE","72","197","2012","EDM","4","2","93"
"269","Erik Haula","VGK","C, L","27","1991-03-23","Pori","","FIN","FIN","72","193","2009","MIN","7","1","182"
"107","Erik Johnson","COL","D","30","1988-03-21","Bloomington","MN","USA","USA","76","225","2006","STL","1","1","1"
"188","Erik Karlsson","S.J","D","28","1990-05-31","Landsbro","","SWE","SWE","72","190","2008","OTT","1","15","15"
"457","Esa Lindell","DAL","D","24","1994-05-23","Vantaa","","FIN","FIN","75","215","2012","DAL","3","13","74"
"816","Evan Bouchard","EDM","D","19","1999-10-20","Oakville","ON","CAN","CAN","74","194","2018","EDM","1","10","10"
"701","Evan Rodrigues","BUF","L","25","1993-07-28","Toronto","ON","CAN","CAN","71","176","-","-","-","-","-"
"233","Evander Kane","S.J","L","27","1991-08-02","Vancouver","BC","CAN","CAN","74","210","2009","ATL","1","4","4"
"56","Evgeni Malkin","PIT","C","32","1986-07-31","Magnitogorsk","","RUS","RUS","75","195","2004","PIT","1","2","2"
"163","Evgenii Dadonov","FLA","R","29","1989-03-12","Chelyabinsk","","RUS","RUS","71","185","2007","FLA","3","10","71"
"296","Evgeny Kuznetsov","WSH","C","26","1992-05-19","Chelyabinsk","","RUS","RUS","74","204","2010","WSH","1","26","26"
"796","Filip Chytil","NYR","C","19","1999-09-05","Kromeriz","","CZE","CZE","74","208","2017","NYR","1","21","21"
"451","Filip Forsberg","NSH","L","24","1994-08-13","Ostervala","","SWE","SWE","73","205","2012","WSH","1","11","11"
"760","Filip Hronek","DET","D","21","1997-11-02","Hradec Králové","","CZE","CZE","72","170","2016","DET","2","23","53"
"648","Frank Vatrano","FLA","C","24","1994-03-14","East Longmeadow","MA","USA","USA","69","201","-","-","-","-","-"
"21","Frans Nielsen","DET","C","34","1984-04-24","Herning","","DNK","DNK","73","188","2002","NYI","3","24","87"
"579","Frederick Gaudreau","NSH","C","25","1993-05-01","Bromont","QC","CAN","CAN","72","179","-","-","-","-","-"
"565","Frederik Gauthier","TOR","C","23","1995-04-26","Laval","QC","CAN","CAN","77","235","2013","TOR","1","21","21"
"360","Fredrik Claesson","NYR","D","26","1992-11-24","Stockholm","","SWE","SWE","73","196","2011","OTT","5","5","126"
"267","Gabriel Bourque","COL","L","28","1990-09-23","Rimouski","QC","CAN","CAN","70","206","2009","NSH","5","11","132"
"697","Gabriel Carlsson","CBJ","D","22","1997-01-02","Orebro","","SWE","SWE","77","192","2015","CBJ","1","29","29"
"394","Gabriel Landeskog","COL","L","26","1992-11-23","Stockholm","","SWE","SWE","73","215","2011","COL","1","2","2"
"578","Garnet Hathaway","CGY","R","27","1991-11-23","Kennebunkport","ME","USA","USA","74","210","-","-","-","-","-"
"264","Garrett Wilson","PIT","L","27","1991-03-16","Barrie","ON","CAN","CAN","74","199","2009","FLA","4","16","107"
"775","Gavin Bayreuther","DAL","D","24","1994-05-12","Canaan","NH","USA","USA","73","195","-","-","-","-","-"
"479","Gemel Smith","BOS, DAL","C","24","1994-04-16","Toronto","ON","CAN","CAN","70","195","2012","DAL","4","13","104"
"294","Greg McKegg","CAR","C","26","1992-06-17","St. Thomas","ON","CAN","CAN","72","194","2010","TOR","3","2","62"
"209","Greg Pateryn","MIN","D","28","1990-06-20","Sterling Heights","MI","USA","USA","75","223","2008","TOR","5","7","128"
"632","Gustav Forsling","CHI","D","22","1996-06-12","Linkoping","","SWE","SWE","72","186","2014","VAN","5","6","126"
"206","Gustav Nyquist","DET","R","29","1989-09-01","Halmstad","","SWE","SWE","71","184","2008","DET","4","30","121"
"431","Hampus Lindholm","ANA","D","25","1994-01-20","Helsingborg","","SWE","SWE","75","211","2012","ANA","1","6","6"
"589","Haydn Fleury","CAR","D","22","1996-07-08","Carlyle","SK","CAN","CAN","75","208","2014","CAR","1","7","7"
"792","Henri Jokiharju","CHI","D","19","1999-06-17","Oulu","","FIN","FIN","72","193","2017","CHI","1","29","29"
"753","Henrik Borgstrom","FLA","C","21","1997-08-06","Helsinki","","FIN","FIN","75","190","2016","FLA","1","23","23"
"140","Ian Cole","COL","D","29","1989-02-21","Ann Arbor","MI","USA","USA","73","219","2007","STL","1","18","18"
"529","Ian McCoshen","FLA","D","23","1995-08-05","Anaheim","CA","USA","USA","75","217","2013","FLA","2","1","31"
"822","Igor Ozhiganov","TOR","D","26","1992-10-13","Krasnogorsk","","RUS","RUS","74","210","-","-","-","-","-"
"12","Ilya Kovalchuk","L.A","L","35","1983-04-15","Tver","","RUS","RUS","75","222","2001","ATL","1","1","1"
"827","Ilya Lyubushkin","ARI","D","24","1994-04-06","Moscow","","RUS","RUS","74","201","-","-","-","-","-"
"817","Isac Lundestrom","ANA","C","19","1999-11-06","Gallivare","","SWE","SWE","72","187","2018","ANA","1","23","23"
"614","Ivan Barbashev","STL","C","23","1995-12-14","Moscow","","RUS","RUS","72","187","2014","STL","2","3","33"
"696","Ivan Provorov","PHI","D","22","1997-01-13","Yaroslavl","","RUS","RUS","73","201","2015","PHI","1","7","7"
"424","J.T. Brown","MIN","R","28","1990-07-02","Burnsville","MN","USA","USA","70","166","-","-","-","-","-"
"532","J.T. Compher","COL","L","23","1995-04-08","Northbrook","IL","USA","USA","72","193","2013","BUF","2","5","35"
"406","J.T. Miller","T.B","C","25","1993-03-14","East Palestine","OH","USA","USA","73","218","2011","NYR","1","15","15"
"477","Jaccob Slavin","CAR","D","24","1994-05-01","Denver","CO","USA","USA","75","207","2012","CAR","4","29","120"
"657","Jack Eichel","BUF","C","22","1996-10-28","North Chelmsford","MA","USA","USA","74","200","2015","BUF","1","2","2"
"78","Jack Johnson","PIT","D","32","1987-01-13","Indianapolis","IN","USA","USA","73","227","2005","CAR","1","3","3"
"646","Jack Rodewald","OTT","R","24","1994-02-14","Calgary","AB","CAN","CAN","74","189","-","-","-","-","-"
"682","Jack Roslovic","WPG","C","22","1997-01-29","Columbus","OH","USA","USA","73","187","2015","WPG","1","25","25"
"531","Jacob de la Rose","DET","C, L","23","1995-05-20","Arvika","","SWE","SWE","75","216","2013","MTL","2","4","34"
"692","Jacob Larsson","ANA","D","21","1997-04-29","Ljungby","","SWE","SWE","74","197","2015","ANA","1","27","27"
"761","Jacob MacDonald","FLA","D","25","1993-02-26","Portland","OR","USA","","72","204","-","-","-","-","-"
"642","Jacob Middleton","S.J","D","23","1996-01-02","Wainwright","AB","CAN","CAN","75","210","2014","L.A","7","30","210"
"828","Jacob Nilsson","CHI","C","25","1993-10-12","Morrum","","SWE","SWE","70","180","-","-","-","-","-"
"449","Jacob Trouba","WPG","D","24","1994-02-26","Rochester","MI","USA","USA","75","202","2012","WPG","1","9","9"
"311","Jaden Schwartz","STL","L","26","1992-06-25","Wilcox","SK","CAN","CAN","70","190","2010","STL","1","14","14"
"752","Jake Bean","CAR","D","20","1998-06-09","Calgary","AB","CAN","CAN","73","186","2016","CAR","1","13","13"
"695","Jake DeBrusk","BOS","L","22","1996-10-17","Edmonton","AB","CAN","CAN","72","188","2015","BOS","1","14","14"
"487","Jake Dotchin","ANA","D","24","1994-03-24","Cambridge","ON","CAN","CAN","75","210","2012","T.B","6","10","161"
"190","Jake Gardiner","TOR","D","28","1990-07-04","Minnetonka","MN","USA","USA","74","203","2008","ANA","1","17","17"
"513","Jake Guentzel","PIT","C, L","24","1994-10-06","Omaha","NE","USA","USA","71","180","2013","PIT","3","16","77"
"472","Jake McCabe","BUF","D","25","1993-10-12","Eau Claire","WI","USA","USA","73","206","2012","BUF","2","14","44"
"168","Jake Muzzin","L.A, TOR","D","29","1989-02-21","Woodstock","ON","CAN","CAN","75","213","2007","PIT","5","20","141"
"588","Jake Virtanen","VAN","R","22","1996-08-17","New Westminster","BC","CAN","CAN","73","226","2014","VAN","1","6","6"
"738","Jakob Chychrun","ARI","D","20","1998-03-31","Boca Raton","FL","USA","USA","74","210","2016","ARI","1","16","16"
"665","Jakob Forsbacka Karlsson","BOS","C","22","1996-10-31","Stockholm","","SWE","SWE","73","184","2015","BOS","2","15","45"
"229","Jakob Silfverberg","ANA","R","28","1990-10-13","Gävle","","SWE","SWE","74","204","2009","OTT","2","9","39"
"800","Jakub Jerabek","STL","D","27","1991-05-12","Pilsen","","CZE","CZE","71","199","-","-","-","-","-"
"167","Jakub Voracek","PHI","R","29","1989-08-15","Kladno","","CZE","CZE","74","214","2007","CBJ","1","7","7"
"595","Jakub Vrana","WSH","L","22","1996-02-28","Prague","","CZE","CZE","72","197","2014","WSH","1","13","13"
"663","Jakub Zboril","BOS","D","21","1997-02-21","Brno","","CZE","CZE","72","200","2015","BOS","1","13","13"
"85","James Neal","CGY","L","31","1987-09-03","Whitby","ON","CAN","CAN","74","212","2005","DAL","2","3","33"
"144","James van Riemsdyk","PHI","L","29","1989-05-04","Middletown","NJ","USA","USA","75","217","2007","PHI","1","2","2"
"136","Jamie Benn","DAL","L","29","1989-07-18","Victoria","BC","CAN","CAN","74","205","2007","DAL","5","8","129"
"405","Jamie Oleksiak","DAL, PIT","D","26","1992-12-21","Toronto","ON","CAN","CAN","79","255","2011","DAL","1","14","14"
"806","Jan Rutta","CHI","D","28","1990-07-29","Písek","","CZE","CZE","75","200","-","-","-","-","-"
"768","Janne Kuokkanen","CAR","L","20","1998-05-25","Oulunsalo","","FIN","FIN","73","193","2016","CAR","2","13","43"
"605","Jared McCann","FLA, PIT","C","22","1996-05-31","Stratford","ON","CAN","CAN","73","185","2014","VAN","1","24","24"
"213","Jared Spurgeon","MIN","D","29","1989-11-29","Edmonton","AB","CAN","CAN","69","167","2008","NYI","6","5","156"
"782","Jaret Anderson-Dolan","L.A","C","19","1999-09-12","Calgary","AB","CAN","CAN","71","188","2017","L.A","2","10","41"
"174","Jason Demers","ARI","D","30","1988-06-09","Dorval","QC","CAN","CAN","73","195","2008","S.J","7","5","186"
"527","Jason Dickinson","DAL","C","23","1995-07-04","Georgetown","ON","CAN","CAN","74","200","2013","DAL","1","29","29"
"178","Jason Garrison","EDM","D","34","1984-11-13","White Rock","BC","CAN","CAN","73","218","-","-","-","-","-"
"17","Jason Pominville","BUF","R","36","1982-11-30","Repentigny","QC","CAN","USA","72","180","2001","BUF","2","25","55"
"13","Jason Spezza","DAL","C","35","1983-06-13","Toronto","ON","CAN","CAN","75","215","2001","OTT","1","2","2"
"289","Jason Zucker","MIN","L","27","1992-01-16","Newport Beach","CA","USA","USA","71","183","2010","MIN","2","29","59"
"177","Jay Beagle","VAN","C","33","1985-10-16","Calgary","AB","CAN","CAN","75","210","-","-","-","-","-"
"22","Jay Bouwmeester","STL","D","35","1983-09-27","Edmonton","AB","CAN","CAN","76","206","2002","FLA","1","3","3"
"613","Jayce Hawryluk","FLA","C","23","1996-01-01","Yorkton","SK","CAN","CAN","71","196","2014","FLA","2","2","32"
"373","Jean-Gabriel Pageau","OTT","C","26","1992-11-11","Ottawa","ON","CAN","CAN","70","184","2011","OTT","4","5","96"
"566","Jean-Sebastien Dea","N.J, PIT","C","24","1994-02-08","Laval","QC","CAN","CAN","71","175","-","-","-","-","-"
"33","Jeff Carter","L.A","C","34","1985-01-01","London","ON","CAN","CAN","75","219","2003","PHI","1","11","11"
"115","Jeff Petry","MTL","D","31","1987-12-09","Ann Arbor","MI","USA","USA","75","197","2006","EDM","2","15","45"
"314","Jeff Skinner","BUF","C, L","26","1992-05-16","Toronto","ON","CAN","CAN","71","187","2010","CAR","1","7","7"
"687","Jeremy Lauzon","BOS","D","21","1997-04-28","Val D'or","QC","CAN","CAN","73","204","2015","BOS","2","22","52"
"754","Jesper Bratt","N.J","L","20","1998-07-30","Stockholm","","SWE","SWE","70","175","2016","N.J","6","11","162"
"334","Jesper Fast","NYR","R","27","1991-12-02","Nassjo","","SWE","SWE","72","192","2010","NYR","6","7","157"
"818","Jesperi Kotkaniemi","MTL","C","18","2000-07-06","Pori","","FIN","FIN","74","184","2018","MTL","1","3","3"
"737","Jesse Puljujarvi","EDM","R","20","1998-05-07","Alvkarleby","","SWE","FIN","76","201","2016","EDM","1","4","4"
"464","Jimmy Vesey","NYR","L","25","1993-05-26","Boston","MA","USA","USA","75","199","2012","NSH","3","5","66"
"324","Joakim Nordstrom","BOS","C","26","1992-02-25","Stockholm","","SWE","SWE","73","194","2010","CHI","3","30","90"
"493","Joakim Ryan","S.J","D","25","1993-06-17","Rumson","NJ","USA","USA","71","185","2012","S.J","7","17","198"
"643","Joe Hicketts","DET","D","22","1996-05-04","Kamloops","BC","CAN","CAN","68","180","-","-","-","-","-"
"412","Joe Morrow","WPG","D","26","1992-12-09","Edmonton","AB","CAN","CAN","72","196","2011","PIT","1","23","23"
"51","Joe Pavelski","S.J","C","34","1984-07-11","Plover","WI","USA","USA","71","190","2003","S.J","7","8","205"
"3","Joe Thornton","S.J","C","39","1979-07-02","London","ON","CAN","CAN","76","220","1997","BOS","1","1","1"
"407","Joel Armia","MTL","R","25","1993-05-31","Pori","","FIN","FIN","75","210","2011","BUF","1","16","16"
"386","Joel Edmundson","STL","D","25","1993-06-28","Brandon","MB","CAN","CAN","76","215","2011","STL","2","16","46"
"693","Joel Eriksson Ek","MIN","C","22","1997-01-29","Karlstad","","SWE","SWE","73","208","2015","MIN","1","20","20"
"571","Joel Hanley","DAL","D","27","1991-06-08","Keswick","ON","CAN","CAN","71","190","-","-","-","-","-"
"728","Joey Anderson","N.J","R","20","1998-06-19","Roseville","MN","USA","USA","71","190","2016","N.J","3","12","73"
"292","Johan Larsson","BUF","C","26","1992-07-25","Lau","","SWE","SWE","71","202","2010","MIN","2","26","56"
"194","John Carlson","WSH","D","29","1990-01-10","Natick","MA","USA","USA","75","218","2008","WSH","1","27","27"
"511","John Hayden","CHI","R","23","1995-02-14","Chicago","IL","USA","USA","75","215","2013","CHI","3","13","74"
"338","John Klingberg","DAL","D","26","1992-08-14","Gothenburg","","SWE","SWE","74","180","2010","DAL","5","11","131"
"244","John Moore","BOS","D","28","1990-11-19","Winnetka","IL","USA","USA","74","210","2009","CBJ","1","21","21"
"611","John Quenneville","N.J","C","22","1996-04-16","Edmonton","AB","CAN","CAN","73","195","2014","N.J","1","30","30"
"230","John Tavares","TOR","C","28","1990-09-20","Mississauga","ON","CAN","CAN","73","209","2009","NYI","1","1","1"
"23","Johnny Boychuk","NYI","D","35","1984-01-19","Edmonton","AB","CAN","CAN","74","227","2002","COL","2","31","61"
"358","Johnny Gaudreau","CGY","L","25","1993-08-13","Salem","NJ","USA","USA","69","165","2011","CGY","4","13","104"
"299","Jon Merrill","VGK","D","27","1992-02-03","Oklahoma City","OK","USA","USA","75","205","2010","N.J","2","8","38"
"402","Jonas Brodin","MIN","D","25","1993-07-12","Karlstad","","SWE","SWE","73","198","2011","MIN","1","10","10"
"653","Jonas Siegenthaler","WSH","D","21","1997-05-06","Zurich","","CHE","CHE","75","206","2015","WSH","2","27","57"
"549","Jonathan Drouin","MTL","C, L","23","1995-03-28","Ste-Agathe","QC","CAN","CAN","72","193","2013","T.B","1","3","3"
"26","Jonathan Ericsson","DET","D","34","1984-03-02","Karlskrona","","SWE","SWE","76","220","2002","DET","9","31","291"
"395","Jonathan Huberdeau","FLA","L","25","1993-06-04","Saint-Jerome","QC","CAN","CAN","73","200","2011","FLA","1","3","3"
"417","Jonathan Marchessault","VGK","C","28","1990-12-27","Cap-Rouge","QC","CAN","CAN","69","174","-","-","-","-","-"
"128","Jonathan Toews","CHI","C","30","1988-04-29","Winnipeg","MB","CAN","CAN","74","201","2006","CHI","1","3","3"
"327","Joonas Donskoi","S.J","R","26","1992-04-13","Raahe","","FIN","FIN","72","190","2010","FLA","4","9","99"
"192","Jordan Eberle","NYI","C, R","28","1990-05-15","Regina","SK","CAN","CAN","71","187","2008","EDM","1","22","22"
"661","Jordan Greenway","MIN","L","21","1997-02-16","Canton","NY","USA","USA","78","227","2015","MIN","2","20","50"
"748","Jordan Kyrou","STL","C","20","1998-05-05","Toronto","ON","CAN","CAN","72","175","2016","STL","2","5","35"
"466","Jordan Martinook","CAR","L","26","1992-07-25","Brandon","MB","CAN","CAN","72","196","2012","PHX","2","28","58"
"274","Jordan Nolan","STL","C","29","1989-06-23","Garden River, First Nations","ON","CAN","CAN","75","219","2009","L.A","7","5","186"
"576","Jordan Oesterle","ARI","D","26","1992-06-25","Dearborn Heights","MI","USA","USA","72","182","-","-","-","-","-"
"442","Jordan Schmaltz","STL","D","25","1993-10-08","Madison","WI","USA","USA","74","190","2012","STL","1","25","25"
"117","Jordan Staal","CAR","C","30","1988-09-10","Thunder Bay","ON","CAN","CAN","76","220","2006","PIT","1","2","2"
"295","Jordan Weal","ARI, PHI","C","26","1992-04-15","North Vancouver","BC","CAN","CAN","70","179","2010","L.A","3","10","70"
"219","Jordie Benn","MTL","D","31","1987-07-26","Victoria","BC","CAN","CAN","74","199","-","-","-","-","-"
"201","Jori Lehtera","PHI","C","31","1987-12-23","Helsinki","","FIN","FIN","74","212","2008","STL","3","4","65"
"488","Joseph Blandisi","ANA, PIT","C","24","1994-07-18","Markham","ON","CAN","CAN","72","187","2012","COL","6","11","162"
"777","Joseph Gambardella","EDM","C","25","1993-12-01","Staten Island","NY","USA","USA","70","196","-","-","-","-","-"
"483","Josh Anderson","CBJ","R","24","1994-05-07","Burlington","ON","CAN","CAN","75","221","2012","CBJ","4","4","95"
"355","Josh Archibald","ARI","R","26","1992-10-06","Regina","SK","CAN","CAN","70","176","2011","PIT","6","23","174"
"186","Josh Bailey","NYI","R","29","1989-10-02","Bowmanville","ON","CAN","CAN","73","212","2008","NYI","1","9","9"
"509","Josh Brown","FLA","D","25","1994-01-21","London","ON","CAN","CAN","77","215","2013","FLA","6","1","152"
"372","Josh Leivo","TOR, VAN","L","25","1993-05-26","Innisfil","ON","CAN","CAN","74","192","2011","TOR","3","25","86"
"746","Josh Mahura","ANA","D","20","1998-05-05","St. Albert","AB","CAN","CAN","73","192","2016","ANA","3","24","85"
"353","Josh Manson","ANA","D","27","1991-10-07","Hinsdale","IL","USA","CAN","75","216","2011","ANA","6","9","160"
"558","Josh Morrissey","WPG","D","23","1995-03-28","Calgary","AB","CAN","CAN","72","195","2013","WPG","1","13","13"
"609","Joshua Ho-Sang","NYI","R","23","1996-01-22","Toronto","ON","CAN","CAN","72","173","2014","NYI","1","28","28"
"620","Juho Lammikko","FLA","R","23","1996-01-29","Noormarkku","","FIN","FIN","74","191","2014","FLA","3","5","65"
"462","Jujhar Khaira","EDM","L","24","1994-08-13","Surrey","BC","CAN","CAN","76","212","2012","EDM","3","2","63"
"596","Julius Honka","DAL","D","23","1995-12-03","Jyväskylä","","FIN","FIN","71","180","2014","DAL","1","14","14"
"87","Justin Abdelkader","DET","L","31","1987-02-25","Muskegon","MI","USA","USA","74","214","2005","DET","2","12","42"
"141","Justin Braun","S.J","D","31","1987-02-10","Minneapolis","MN","USA","USA","74","205","2007","S.J","7","20","201"
"276","Justin Dowling","DAL","C","28","1990-10-01","Calgary","AB","CAN","CAN","70","180","-","-","-","-","-"
"135","Justin Falk","OTT","D","30","1988-10-11","Snowflake","MB","CAN","CAN","77","223","2007","MIN","4","19","110"
"301","Justin Faulk","CAR","D","26","1992-03-20","South St.Paul","MN","USA","USA","72","217","2010","CAR","2","7","37"
"288","Justin Holl","TOR","D","27","1992-01-30","Tonka Bay","MN","USA","USA","75","205","2010","CHI","2","24","54"
"797","Justin Kloos","ANA","C","25","1993-11-30","Lakeville","MN","USA","USA","69","175","-","-","-","-","-"
"196","Justin Schultz","PIT","D","28","1990-07-06","Kelowna","BC","CAN","CAN","74","193","2008","ANA","2","13","43"
"8","Justin Williams","CAR","R","37","1981-10-04","Cobourg","ON","CAN","CAN","73","184","2000","PHI","1","28","28"
"824","Juuso Riikola","PIT","D","25","1993-11-09","Joensuu","","FIN","","72","189","-","-","-","-","-"
"779","Juuso Valimaki","CGY","D","20","1998-10-06","Tampere","","FIN","FIN","74","212","2017","CGY","1","16","16"
"780","Kailer Yamamoto","EDM","R","20","1998-09-29","Spokane","WA","USA","USA","68","153","2017","EDM","1","22","22"
"724","Kalle Kossila","ANA","C","25","1993-04-14","Kauniainen","","FIN","FIN","70","185","-","-","-","-","-"
"134","Karl Alzner","MTL","D","30","1988-09-24","Burnaby","BC","CAN","CAN","75","219","2007","WSH","1","5","5"
"604","Kasperi Kapanen","TOR","R","22","1996-07-23","Kuopio","","FIN","FIN","73","192","2014","PIT","1","22","22"
"91","Keith Yandle","FLA","D","32","1986-09-09","Boston","MA","USA","USA","73","191","2005","PHX","4","14","105"
"332","Kenny Agostino","MTL","L","26","1992-04-30","Morristown","NJ","USA","USA","72","199","2010","PIT","5","20","140"
"563","Kerby Rychel","CGY","L","24","1994-10-07","Torrance","CA","USA","CAN","73","213","2013","CBJ","1","19","19"
"345","Kevan Miller","BOS","D","31","1987-11-15","Los Angeles","CA","USA","USA","74","210","-","-","-","-","-"
"263","Kevin Connauton","ARI","D","28","1990-02-23","Edmonton","AB","CAN","CAN","74","205","2009","VAN","3","22","83"
"593","Kevin Fiala","NSH","L","22","1996-07-22","St. Gallen","","CHE","CHE","70","193","2014","NSH","1","11","11"
"335","Kevin Gravel","EDM","D","26","1992-03-06","Kingsford","MI","USA","USA","76","211","2010","L.A","5","28","148"
"307","Kevin Hayes","NYR","C","26","1992-05-08","Dorchester","MA","USA","USA","77","216","2010","CHI","1","24","24"
"638","Kevin Labanc","S.J","R","23","1995-12-12","Brooklyn","NY","USA","USA","71","185","2014","S.J","6","21","171"
"725","Kevin Rooney","N.J","C","25","1993-05-21","Canton","MA","USA","USA","74","190","-","-","-","-","-"
"142","Kevin Shattenkirk","NYR","D","30","1989-01-29","New Rochelle","NY","USA","USA","72","206","2007","COL","1","14","14"
"707","Kevin Stenlund","CBJ","C","22","1996-09-20","Huddinge","","SWE","SWE","76","210","2015","CBJ","2","28","58"
"810","Kiefer Sherwood","ANA","R","23","1995-03-31","Columbus","OH","USA","USA","72","194","-","-","-","-","-"
"122","Korbinian Holzer","ANA","D","30","1988-02-16","Munich","","DEU","DEU","75","218","2006","TOR","4","18","111"
"89","Kris Letang","PIT","D","31","1987-04-24","Montreal","QC","CAN","CAN","72","201","2005","PIT","3","1","62"
"90","Kris Russell","EDM","D","31","1987-05-02","Caroline","AB","CAN","CAN","70","170","2005","CBJ","3","6","67"
"786","Kristian Vesalainen","WPG","L","19","1999-06-01","Helsinki","","FIN","FIN","75","207","2017","WPG","1","24","24"
"418","Kurtis Gabriel","N.J","R","25","1993-04-20","Newmarket","ON","CAN","CAN","76","200","2013","MIN","3","20","81"
"52","Kyle Brodziak","EDM","C","34","1984-05-25","St. Paul","AB","CAN","CAN","74","205","2003","EDM","7","17","214"
"227","Kyle Clifford","L.A","L","28","1991-01-13","Ayr","ON","CAN","CAN","74","211","2009","L.A","2","5","35"
"652","Kyle Connor","WPG","L","22","1996-12-09","Shelby Twp.","MI","USA","USA","73","182","2015","WPG","1","17","17"
"108","Kyle Okposo","BUF","R","30","1988-04-16","St. Paul","MN","USA","USA","72","219","2006","NYI","1","7","7"
"225","Kyle Palmieri","N.J","R","28","1991-02-01","Smithtown","NY","USA","USA","71","185","2009","ANA","1","26","26"
"152","Kyle Turris","NSH","C","29","1989-08-14","New Westminster","BC","CAN","CAN","73","190","2007","PHX","1","3","3"
"171","Lars Eller","WSH","C","29","1989-05-08","Rodovre","","DNK","DNK","74","207","2007","STL","1","13","13"
"534","Laurent Dauphin","ARI","C","23","1995-03-27","Repentigny","QC","CAN","CAN","73","180","2013","PHX","2","9","39"
"821","Lawrence Pilut","BUF","D","23","1995-12-30","Tingsryd","","SWE","SWE","71","180","-","-","-","-","-"
