Player,Year,Team,Position_SIndC,GP_SIndC,TOI_SIndC,Goals_SIndC,Total_Assists_SIndC,First_Assists_SIndC,Second_Assists_SIndC,Total_Points_SIndC,IPP_SIndC,Shots_SIndC,SHPer_SIndC,iCF_SIndC,iFF_SIndC,iSCF_SIndC,iHDCF_SIndC,Rush_Attempts_SIndC,Rebounds_Created_SIndC,PIM_SIndC,Total_Penalties_SIndC,Minor_SIndC,Major_SIndC,Misconduct_SIndC,Penalties_Drawn_SIndC,Giveaways_SIndC,Takeaways_SIndC,Hits_SIndC,Hits_Taken_SIndC,Shots_Blocked_SIndC,Faceoffs_Won_SIndC,Faceoffs_Lost_SIndC,Faceoffs_Per_SIndC,Position_PPIndC,GP_PPIndC,TOI_PPIndC,Goals_PPIndC,Total_Assists_PPIndC,First_Assists_PPIndC,Second_Assists_PPIndC,Total_Points_PPIndC,IPP_PPIndC,Shots_PPIndC,SHPer_PPIndC,iCF_PPIndC,iFF_PPIndC,iSCF_PPIndC,iHDCF_PPIndC,Rush_Attempts_PPIndC,Rebounds_Created_PPIndC,PIM_PPIndC,Total_Penalties_PPIndC,Minor_PPIndC,Major_PPIndC,Misconduct_PPIndC,Penalties_Drawn_PPIndC,Giveaways_PPIndC,Takeaways_PPIndC,Hits_PPIndC,Hits_Taken_PPIndC,Shots_Blocked_PPIndC,Faceoffs_Won_PPIndC,Faceoffs_Lost_PPIndC,Faceoffs_Per_PPIndC,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,IPP,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per,Position_PkIndR,GP_PkIndR,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per,Position_PPIndR,GP_PPIndR,PPTOI,PPTOI_GP,PPCF_60,PPCA_60,PPCFPer,PPFF_60,PPFA_60,PPFFPer,PPSF_60,PPSA_60,PPSFPer,PPGF_60,PPGA_60,PPGFPer,PPSCF_60,PPSCA_60,PPSCFPer,PPHDCF_60,PPHDCA_60,PPHDCFPer,PPHDGF_60,PPHDGA_60,PPHDGFPer,PPMDCF_60,PPMDCA_60,PPMDCFPer,PPMDGF_60,PPMDGA_60,PPMDGFPer,PPLDCF_60,PPLDCA_60,PPLDCFPer,PPLDGF_60,PPLDGA_60,PPLDGFPer,PPOn-Ice SHPer,PPOn-Ice SVPer,PPPDO,PPOff. Zone Faceoffs_60,PPNeu. Zone Faceoffs_60,PPDef. Zone Faceoffs_60,PPOnTFStarts_60,PPOffZoneStartPer,PPOffZoneFaceoffs_60,PPNeuZoneFaceoffs_60,PPDefZoneFaceoffs_60,PPOff. Zone Faceoff Per,Position_SIndR,GP_SIndR,TOI_SIndR,TOI_GP,CF_60,CA_60,CFPer,FF_60,FA_60,FFPer,SF_60,SA_60,SFPer,GF_60,GA_60,GFPer,SCF_60,SCA_60,SCFPer,HDCF_60,HDCA_60,HDCFPer,HDGF_60,HDGA_60,HDGFPer,MDCF_60,MDCA_60,MDCFPer,MDGF_60,MDGA_60,MDGFPer,LDCF_60,LDCA_60,LDCFPer,LDGF_60,LDGA_60,LDGFPer,On-Ice SHPer,On-Ice SVPer,PDO,Off. Zone Faceoffs_60,Neu. Zone Faceoffs_60,Def. Zone Faceoffs_60,OnTFStarts_60,OffZoneStartPer,OffZoneFaceoffs_60,NeuZoneFaceoffs_60,DefZoneFaceoffs_60,Off. Zone Faceoff Per,Position_Bios,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Jack Eichel,2018,BUF,C,67.0,1047.3333333333,22.0,20.0,14.0,6.0,42.0,82.35,169.0,13.02,275.0,218.0,126.0,49.0,6.0,16.0,28.0,10.0,9.0,0.0,1.0,23.0,45.0,33.0,47.0,58.0,33.0,330.0,463.0,41.61,C,67.0,249.05,3.0,17.0,7.0,10.0,20.0,57.14,73.0,4.11,152.0,114.0,63.0,3.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,14.0,0.0,5.0,3.0,0.0,17.0,17.0,50.00,C,67.0,53.216666666667,0.0,2.0,2.0,0.0,2.0,100.00,3.0,0.00,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,9.0,0.00,C,67.0,53.21666667,0.7942786070000001,21.42,75.54,22.09,20.29,51.86,28.13,15.78,39.46,28.57,2.25,2.25,50,10.15,33.82,23.08,7.89,12.4,38.89,2.25,1.13,66.67,3.01,28.56,9.52,0.0,1.5,0,13.03,55.37,19.05,0.0,0.0,-,14.29,94.29,1.086,4.51,2.25,16.91,87.94,21.05,4.51,4.51,23.68,16,C,67.0,249.05,3.7171641789999996,115.88,13.25,89.74,92.75,12.29,88.3,66.25,9.15,87.86,8.43,1.69,83.33,58.3,6.02,90.64,22.65,3.37,87.04,4.82,1.2,80,47.54,3.53,93.08,3.21,0.64,83.33,75.86,7.31,91.21,1.74,0.0,100,12.73,81.58,0.943,27.46,5.78,0.24,4.82,99.13,59.51,10.6,1.45,97.63,C,67.0,1349.6,20.14328358,66.82,50.5,56.95,52.28,39.66,56.87,38.32,29.25,56.71,3.91,3.56,52.38,30.81,22.41,57.89,13.38,9.91,57.44,2.27,1.96,53.68,23.24,16.66,58.25,1.07,1.07,50,43.92,33.84,56.48,0.9,0.77,53.85,10.21,87.84,0.981,15.78,12.23,6.31,34.81,71.43,31.61,18.49,14.18,69.03,C,22.0,10/28/96,North Chelmsford,MA,USA,USA,74.0,200.0,2015,BUF,1,2,2
Jack Johnson,2018,CBJ,D,77.0,1332.4333333333,3.0,8.0,4.0,4.0,11.0,21.15,81.0,3.70,166.0,117.0,36.0,5.0,2.0,7.0,22.0,11.0,11.0,0.0,0.0,4.0,20.0,17.0,91.0,87.0,107.0,0.0,0.0,-,D,77.0,11.5,0.0,0.0,0.0,0.0,0.0,0.00,1.0,0.00,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-,D,77.0,161.13333333333,0.0,0.0,0.0,0.0,0.0,0.00,6.0,0.00,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,2.0,28.0,0.0,0.0,-,D,77.0,161.1333333,2.0926406930000003,18.25,115.8,13.61,16.76,87.13,16.13,14.89,65.16,18.6,0.74,12.29,5.71,8.94,62.18,12.57,5.96,27.93,17.58,0.74,5.96,11.11,3.97,45.68,8,0.0,3.97,0,6.45,71.53,8.28,0.0,4.3,0,5,81.14,0.861,1.12,5.96,37.98,34.26,2.86,4.1,12.29,54.36,7.01,D,77.0,11.5,0.149350649,41.74,15.65,72.73,36.52,15.65,70,31.3,5.22,85.71,5.22,5.22,50,20.87,5.22,80,5.22,0.0,100,0.0,0.0,-,20.87,6.96,75,6.96,6.96,50,30.14,7.54,80,0.0,0.0,-,16.67,0,0.167,46.96,15.65,10.43,146.09,81.82,62.61,20.87,10.43,85.71,D,77.0,1505.066667,19.54632035,49.99,64.78,43.56,38.43,47.68,44.63,27.79,35.36,44.0,2.19,3.71,37.16,24.04,32.05,42.86,9.13,13.2,40.89,1.2,1.91,38.46,19.88,25.14,44.16,0.85,1.44,37.21,31.09,40.37,43.51,0.35,0.98,26.09,7.89,89.52,0.9740000000000001,8.33,11.44,13.47,43.17,38.21,15.75,17.62,24.72,38.92,D,32.0,1/13/87,Indianapolis,IN,USA,USA,73.0,227.0,2005,CAR,1,3,3
Jack Rodewald,2018,OTT,R,4.0,28.733333333333,0.0,0.0,0.0,0.0,0.0,-,0.0,-,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,0.00,R,4.0,0.1,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,R,4.0,0.36666666666666997,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,R,4.0,0.36666666700000006,0.091666667,163.64,0.0,100,163.64,0.0,100,163.64,0.0,100,0.0,0.0,-,163.64,0.0,100,163.64,0.0,100,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0,-,0,0.0,0.0,163.64,0.0,0,0.0,0.0,163.64,0,R,4.0,0.1,0.025,600.0,0.0,100,600.0,0.0,100,0.0,0.0,-,0.0,0.0,-,600.0,0.0,100,600.0,0.0,100,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,-,-,0.0,0.0,0.0,600.0,-,0.0,0.0,0.0,-,R,4.0,29.2,7.3,39.04,47.26,45.24,30.82,26.71,53.57,12.33,18.49,40.0,0.0,2.05,0,20.55,16.44,55.56,10.27,6.16,62.5,0.0,2.05,0,13.7,13.7,50,0.0,0.0,-,26.71,32.65,45.0,0.0,0.0,-,0.0,88.89,0.889,8.22,16.44,8.22,51.37,50,12.33,20.55,20.55,37.5,R,24.0,2/14/94,Calgary,AB,CAN,CAN,74.0,189.0,-,-,-,-,-
Jack Roslovic,2018,WPG,C,31.0,345.88333333333003,5.0,9.0,6.0,3.0,14.0,77.78,34.0,14.71,66.0,57.0,36.0,11.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,12.0,14.0,20.0,30.0,9.0,15.0,17.0,46.88,C,31.0,36.1,0.0,0.0,0.0,0.0,0.0,0.00,4.0,0.00,9.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,42.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,31.0,36.1,1.1645161290000001,99.72,19.94,83.33,71.47,19.94,78.18,49.86,14.96,76.92,6.65,3.32,66.67,38.23,9.97,79.31,13.3,4.99,72.73,1.66,1.66,50,33.24,6.65,83.33,0.0,2.22,0,86.43,9.6,90,7.2,0.0,100,13.33,77.78,0.911,34.9,8.31,4.99,29.92,87.5,38.23,14.96,9.97,79.31,C,31.0,381.9833333,12.32204301,57.33,53.25,51.85,41.62,40.84,50.48,29.22,28.12,50.96,3.46,2.04,62.86,25.45,20.42,55.48,8.48,8.8,49.09,1.57,1.41,52.63,22.62,15.5,59.34,1.05,0.21,83.33,36.53,38.8,48.49,1.59,0.68,70,11.83,92.74,1.046,12.25,13.04,9.11,47.12,57.35,20.73,18.06,18.38,53.01,C,22.0,1/29/97,Columbus,OH,USA,USA,73.0,187.0,2015,WPG,1,25,25
Jacob De La Rose,2018,MTL,L,55.0,599.65,3.0,8.0,2.0,6.0,11.0,64.71,50.0,6.00,104.0,73.0,54.0,18.0,4.0,6.0,29.0,13.0,12.0,1.0,0.0,1.0,18.0,17.0,124.0,66.0,34.0,192.0,231.0,45.39,L,55.0,0.95,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.33,L,55.0,50.9,1.0,0.0,0.0,0.0,1.0,100.00,3.0,33.33,4.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,2.0,13.0,28.0,31.71,L,55.0,50.9,0.925454545,10.61,111.98,8.65,8.25,90.77,8.33,7.07,61.3,10.34,1.18,11.79,9.09,3.54,57.76,5.77,3.54,28.29,11.11,1.18,5.89,16.67,0.0,39.29,0,0.0,1.57,0,5.11,73.22,6.52,0.0,6.81,0,16.67,80.77,0.974,4.72,2.36,31.83,61.3,12.9,4.72,8.25,41.26,10.26,L,55.0,0.95,0.017272726999999998,63.16,0.0,100,63.16,0.0,100,63.16,0.0,100,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,91.23,0.0,100,0.0,0.0,-,0,-,0,189.47,0.0,0.0,189.47,100,252.63,0.0,0.0,100,L,55.0,651.5,11.84545455,49.82,62.16,44.49,35.46,45.77,43.65,26.25,32.88,44.39,1.66,2.76,37.5,21.18,26.8,44.15,10.31,11.88,46.47,1.38,1.38,50,14.49,19.89,42.14,0.37,0.98,27.27,33.39,43.23,43.58,0.0,0.93,0,6.32,91.6,0.9790000000000001,9.95,13.17,9.12,52.59,52.17,17.87,20.08,20.63,46.41,,,,,,,,,,,,,,
Jacob Josefson,2018,BUF,C,39.0,380.61666666666997,2.0,2.0,1.0,1.0,4.0,66.67,32.0,6.25,56.0,43.0,30.0,12.0,2.0,5.0,6.0,3.0,3.0,0.0,0.0,3.0,7.0,7.0,25.0,38.0,25.0,122.0,152.0,44.53,C,39.0,2.9166666666667003,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,75.00,C,39.0,59.783333333333,0.0,0.0,0.0,0.0,0.0,0.00,3.0,0.00,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,15.0,26.0,36.59,C,39.0,59.78333333,1.532905983,15.05,100.36,13.04,13.05,77.28,14.44,11.04,55.2,16.67,1.0,9.03,10,3.01,52.19,5.45,1.0,25.09,3.85,0.0,5.02,0,2.68,36.13,6.9,1.34,1.34,50,8.7,63.79,12,0.0,4.35,0,9.09,83.64,0.927,1.0,5.02,35.13,51.18,2.78,3.01,10.04,42.15,6.67,C,39.0,2.916666667,0.074786325,20.57,0.0,100,20.57,0.0,100,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,29.71,0.0,100,0.0,0.0,-,-,-,-,41.14,20.57,20.57,205.71,66.67,41.14,20.57,20.57,66.67,C,39.0,443.6833333000001,11.37649573,33.94,66.67,33.74,26.1,50.04,34.28,19.88,37.59,34.59,0.95,2.7,25.93,13.52,29.21,31.65,5.14,11.77,30.4,0.41,1.62,20,11.18,23.26,32.46,0.36,0.72,33.33,24.42,46.1,34.63,0.39,0.78,33.33,4.76,92.81,0.976,6.63,12.58,13.39,54.77,33.11,9.33,18.93,27.18,25.56,C,27.0,3/2/91,Stockholm,,SWE,SWE,72.0,196.0,2009,N.J,1,20,20
Jacob Trouba,2018,WPG,D,55.0,984.4166666666699,3.0,17.0,10.0,7.0,20.0,37.74,118.0,2.54,232.0,152.0,46.0,8.0,2.0,16.0,26.0,13.0,13.0,0.0,0.0,10.0,45.0,25.0,78.0,57.0,81.0,0.0,0.0,-,D,55.0,81.65,0.0,3.0,1.0,2.0,3.0,50.00,18.0,0.00,36.0,25.0,8.0,2.0,0.0,2.0,6.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,-,D,55.0,138.31666666667,0.0,1.0,0.0,1.0,1.0,100.00,8.0,0.00,9.0,8.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,2.0,6.0,1.0,18.0,0.0,0.0,-,D,55.0,138.31666669999998,2.514848485,14.75,119.73,10.97,11.71,89.36,11.59,9.54,62.47,13.25,0.43,6.51,6.25,5.21,49.89,9.45,3.47,19.95,14.81,0.0,3.9,0,2.31,39.91,5.48,0.0,0.58,0,5.01,92.73,5.13,0.63,3.13,16.67,4.55,89.58,0.941,0.87,3.47,44.25,28.63,1.92,2.6,7.81,64.63,3.87,D,55.0,81.65,1.484545455,102.14,11.02,90.26,77.89,9.55,89.08,55.85,7.35,88.37,4.41,0.73,85.71,51.44,5.88,89.74,19.11,2.2,89.66,2.2,0.73,75,43.11,4.9,89.8,0.0,0.0,-,65.81,0.0,100,3.18,0.0,100,7.89,90,0.979,33.07,7.35,2.94,28.66,91.84,52.17,13.23,2.94,94.67,D,55.0,1204.383333,21.89787879,58.29,63.32,47.93,43.99,45.88,48.95,32.73,33.18,49.66,2.99,2.99,50,26.7,26.8,49.91,10.46,10.01,51.09,1.39,1.49,48.28,21.65,22.38,49.17,1.0,1.13,46.88,35.62,42.96,45.33,1.08,0.94,53.57,9.13,90.99,1.001,9.17,11.81,12.4,36.52,42.49,18.98,18.48,24.01,44.15,D,24.0,2/26/94,Rochester,MI,USA,USA,75.0,202.0,2012,WPG,1,9,9
Jacob de la Rose,2018,MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,23.0,5/20/95,Arvika,,SWE,SWE,75.0,216.0,2013,MTL,2,4,34
Jaden Schwartz,2018,STL,L,62.0,961.11666666667,17.0,30.0,21.0,9.0,47.0,79.66,118.0,14.41,197.0,161.0,125.0,60.0,8.0,13.0,24.0,12.0,12.0,0.0,0.0,14.0,14.0,38.0,49.0,69.0,28.0,22.0,35.0,38.60,L,62.0,199.25,6.0,5.0,4.0,1.0,11.0,45.83,32.0,18.75,61.0,48.0,46.0,14.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,0.0,8.0,8.0,50.00,L,62.0,41.983333333333,1.0,0.0,0.0,0.0,1.0,100.00,7.0,14.29,11.0,9.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,-,L,62.0,41.98333333,0.677150538,31.44,94.32,25,28.58,72.89,28.17,22.87,52.88,30.19,1.43,5.72,20,17.15,42.87,28.57,8.57,15.72,35.29,1.43,2.86,33.33,11.43,36.2,24,0.0,0.0,-,6.19,66.06,8.57,0.0,2.06,0,6.25,89.19,0.954,1.43,5.72,32.87,88.61,4.17,1.43,11.43,35.73,3.85,L,62.0,199.25,3.2137096769999998,108.71,11.74,90.25,83.11,9.34,89.9,59.62,7.53,88.79,7.23,1.2,85.71,56.01,6.02,90.29,21.38,3.01,87.65,3.91,1.2,76.47,46.17,4.02,92,2.41,0.0,100,71.77,4.78,93.75,2.17,0.0,100,12.12,84,0.961,34.03,4.22,0.3,4.22,99.12,62.94,9.03,1.51,97.66,L,62.0,1202.35,19.39274194,73.36,46.01,61.45,55.09,33.58,62.13,40.02,25.5,61.08,4.19,2.45,63.16,37.58,22.36,62.7,12.92,8.63,59.95,1.95,1.2,61.9,32.87,18.3,64.24,2.06,0.86,70.45,44.47,27.97,61.39,0.94,0.65,59.09,10.47,90.41,1.0090000000000001,16.27,13.47,5.24,39.02,75.64,30.89,19.71,11.43,73.0,L,26.0,6/25/92,Wilcox,SK,CAN,CAN,70.0,190.0,2010,STL,1,14,14
Jake DeBrusk,2018,BOS,L,70.0,872.1166666666701,14.0,20.0,9.0,11.0,34.0,65.38,124.0,11.29,213.0,172.0,128.0,49.0,13.0,13.0,17.0,3.0,1.0,1.0,1.0,22.0,20.0,30.0,69.0,95.0,26.0,12.0,13.0,48.00,L,70.0,126.78333333333,2.0,7.0,5.0,2.0,9.0,56.25,19.0,10.53,33.0,26.0,23.0,13.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,4.0,20.00,L,70.0,7.0833333333333,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,L,70.0,7.083333333,0.101190476,16.94,42.35,28.57,8.47,33.88,20,8.47,33.88,20,0.0,0.0,-,0.0,25.41,0,0.0,8.47,0,0.0,0.0,-,0.0,22.59,0,0.0,0.0,-,12.24,12.24,50,0.0,0.0,-,0,100,1,8.47,25.41,16.94,118.59,33.33,8.47,25.41,25.41,25,L,70.0,126.78333329999998,1.811190476,96.07,17.98,84.23,75.72,16.56,82.05,58.68,13.72,81.05,7.57,2.37,76.19,49.69,8.99,84.68,20.82,6.63,75.86,4.73,2.37,66.67,38.49,3.15,92.42,1.89,0.0,100,64.26,6.15,91.26,2.05,0.0,100,12.9,82.76,0.957,25.56,5.21,2.37,35.97,91.53,42.59,11.36,5.21,89.11,L,70.0,1005.983333,14.37119048,66.32,48.13,57.95,50.64,37.28,57.6,36.98,27.91,56.99,4.06,2.33,63.55,31.61,21.53,59.48,11.45,9.3,55.17,2.33,1.25,65,26.88,16.3,62.25,1.67,0.8,67.74,42.21,30.67,57.92,0.69,0.6,53.33,10.97,91.67,1.026,16.1,11.03,4.83,43.72,76.92,28.63,18.79,10.8,72.62,L,22.0,10/17/96,Edmonton,AB,CAN,CAN,72.0,188.0,2015,BOS,1,14,14
Jake Dotchin,2018,T.B,D,48.0,758.7166666666701,3.0,7.0,4.0,3.0,10.0,24.39,46.0,6.52,109.0,78.0,18.0,2.0,1.0,6.0,25.0,11.0,10.0,1.0,0.0,9.0,33.0,4.0,92.0,63.0,56.0,0.0,0.0,-,D,48.0,4.3833333333333,0.0,0.0,0.0,0.0,0.0,-,0.0,-,2.0,0.0,1.0,0.0,0.0,0.0,11.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,D,48.0,28.166666666667,0.0,1.0,1.0,0.0,1.0,50.00,2.0,0.00,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,-,D,48.0,28.16666667,0.5868055560000001,21.3,108.64,16.39,17.04,76.69,18.18,14.91,57.51,20.59,4.26,10.65,28.57,8.52,51.12,14.29,6.39,27.69,18.75,4.26,6.39,40,2.84,31.24,8.33,0.0,2.84,0,9.23,83.08,10,0.0,3.08,0,28.57,81.48,1.101,0.0,8.52,27.69,63.91,0,2.13,14.91,36.21,5.56,D,48.0,4.383333333,0.091319444,68.44,0.0,100,13.69,0.0,100,0.0,0.0,-,0.0,0.0,-,27.38,0.0,100,0.0,0.0,-,0.0,0.0,-,36.5,0.0,100,0.0,0.0,-,59.32,0.0,100,0.0,0.0,-,-,-,-,82.13,27.38,41.06,109.51,66.67,82.13,27.38,41.06,66.67,D,48.0,791.2666667000001,16.48472222,58.84,56.8,50.89,43.98,42.31,50.97,30.63,32.38,48.62,3.26,2.35,58.11,27.45,24.26,53.08,10.39,9.48,52.29,1.52,1.14,57.14,22.75,19.72,53.57,1.72,1.21,58.62,40.85,40.53,50.2,0.55,0.33,62.5,10.64,92.74,1.034,10.09,15.7,10.09,35.34,50,18.35,22.67,20.63,47.08,D,24.0,3/24/94,Cambridge,ON,CAN,CAN,75.0,210.0,2012,T.B,6,10,161
Jake Gardiner,2018,TOR,D,82.0,1646.45,4.0,33.0,16.0,17.0,37.0,46.84,116.0,3.45,271.0,173.0,80.0,11.0,5.0,14.0,30.0,15.0,15.0,0.0,0.0,13.0,92.0,37.0,49.0,129.0,102.0,0.0,0.0,-,D,82.0,169.65,1.0,14.0,6.0,8.0,15.0,68.18,16.0,6.25,45.0,27.0,14.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,8.0,2.0,2.0,3.0,0.0,0.0,0.0,-,D,82.0,30.966666666667,0.0,0.0,0.0,0.0,0.0,-,1.0,0.00,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,-,D,82.0,30.96666667,0.377642276,11.63,89.13,11.54,11.63,81.38,12.5,11.63,63.94,15.38,0.0,5.81,0,5.81,38.75,13.04,3.88,15.5,20,0.0,1.94,0,2.58,31.0,7.69,0.0,0.0,-,5.6,72.77,7.14,0.0,5.6,0,0,90.91,0.909,3.88,3.88,27.13,127.88,12.5,9.69,5.81,32.94,22.73,D,82.0,169.65,2.068902439,106.81,14.85,87.79,80.99,13.09,86.09,57.29,11.67,83.08,7.78,1.06,88,69.32,6.37,91.59,31.12,1.77,94.62,3.54,0.35,90.91,50.93,6.13,89.26,4.24,0.94,81.82,49.55,4.09,92.38,1.53,0.0,100,13.58,90.91,1.045,27.59,3.54,1.06,31.12,96.3,43.5,6.72,2.83,93.89,D,82.0,1847.0666670000003,22.52520325,63.44,54.83,53.64,46.71,42.62,52.29,33.13,30.7,51.91,3.28,2.37,58.05,34.82,25.18,58.04,13.84,9.49,59.33,1.79,1.1,61.8,27.98,20.92,57.22,1.39,0.95,59.26,34.86,35.66,49.43,0.61,0.7,46.43,9.9,92.28,1.022,10.46,12.28,8.45,44.47,55.33,22.32,19.65,19.04,53.97,D,28.0,7/4/90,Minnetonka,MN,USA,USA,74.0,203.0,2008,ANA,1,17,17
